Precinct	DVote	RVote
527	482	63
528	391	9
529	592	26
530	627	15
531	229	5
532	878	21
533	498	12
534	394	9
535	537	19
536	926	33
537	879	31
538	379	17
539	706	66
540	554	52
541	763	33
542	999	35
543	1002	35
544	623	22
545	868	31
546	757	27
547	655	23
548	607	21
549	911	32
550	763	27
551	958	34
552	451	59
553	0	0
554	0	0
555	995	129
556	205	34
557	3	0
558	491	64
559	4	1
560	477	108
561	684	155
562	637	149
563	533	125
564	582	132
565	221	454
566	126	338
567	374	770
568	335	480
569	240	494
570	227	572
571	300	577
572	179	292
573	186	204
574	369	932
575	191	149
576	252	371
577	344	266
578	206	397
579	161	36
580	216	49
581	306	66
582	148	33
583	471	478
584	578	586
585	647	656
586	371	376
587	253	257
588	288	292
589	434	440
590	572	580
591	824	836
592	117	119
593	413	419
594	446	452
595	224	227
596	272	268
597	73	16
598	380	86
599	300	68
600	303	299
601	300	296
602	449	443
603	383	378
604	110	25
605	229	52
606	207	47
607	246	56
608	228	52
609	724	164
610	318	314
611	485	478
612	434	428
613	391	386
614	547	540
615	350	355
616	440	446
617	164	166
618	225	550
619	248	606
620	239	584
621	218	533
622	361	884
623	288	705
624	252	617
625	175	427
626	286	699
627	214	523
628	190	466
629	164	402
630	228	559
631	241	591
632	152	372
633	221	540
634	171	168
635	469	462
636	246	242
637	234	627
638	168	450
639	224	599
640	229	614
641	164	439
642	300	803
643	249	467
644	155	291
645	192	360
646	157	294
647	177	432
648	138	259
649	184	449
650	209	511
651	248	465
652	269	504
653	251	471
654	178	333
655	237	444
656	327	614
657	372	696
658	275	268
659	256	248
660	253	474
661	253	473
662	200	375
663	235	439
664	367	687
665	302	565
666	295	553
667	283	529
668	335	627
669	468	157
670	717	240
671	778	261
672	630	211
673	417	92
674	570	126
675	1036	229
676	422	93
677	439	147
678	571	126
679	324	109
680	834	185
681	220	364
682	248	245
683	313	310
684	208	343
685	289	478
686	251	415
687	311	513
688	401	396
689	287	283
690	224	221
691	295	488
692	302	499
693	233	384
694	314	518
695	176	291
696	262	433
697	290	479
698	269	444
699	256	422
700	340	561
701	363	359
702	269	262
703	238	235
704	226	373
705	290	478
706	174	169
707	362	597
708	291	282
709	262	254
710	174	169
711	299	295
712	485	472
713	204	198
714	433	428
715	367	191
716	878	457
717	233	122
718	515	471
719	169	151
720	744	666
721	613	560
722	239	236
723	191	189
724	253	246
725	275	268
726	378	368
727	469	456
728	448	435
729	287	279
730	206	200
731	257	249
732	265	258
733	232	225
734	361	351
735	255	248
736	370	360
737	276	269
738	357	347
739	208	202
740	350	340
741	347	337
742	210	204
743	316	307
744	816	793
745	171	166
746	836	114
747	699	778
748	798	294
749	414	152
750	464	171
751	633	233
752	378	139
753	502	185
754	359	132
755	940	346
756	668	91
757	988	135
758	589	80
759	492	35
760	650	47
761	1025	139
762	416	57
763	168	23
764	1079	147
765	948	129
766	667	91
767	938	128
768	684	49
769	493	36
770	813	59
771	856	116
772	43	88
773	68	206
774	151	583
775	159	476
776	45	135
777	275	419
778	334	764
779	163	249
780	124	426
781	15	24
782	48	72
783	38	57
784	288	592
785	131	453
786	112	243
787	192	524
788	76	167
789	365	568
790	310	292
791	300	283
792	411	388
793	11	34
794	12	31
795	46	139
796	49	147
797	81	133
798	59	97
799	210	393
800	157	187
801	209	391
802	119	223
803	244	457
804	257	481
805	71	132
806	194	363
807	197	369
808	136	255
809	118	289
810	238	582
811	78	146
812	276	329
813	209	249
814	232	276
815	368	438
816	316	773
817	327	389
818	344	409
819	224	549
820	336	823
821	361	883
822	221	198
823	183	164
824	266	239
825	265	237
826	209	187
827	155	194
828	385	485
829	683	859
830	357	319
831	325	291
832	329	295
833	658	589
834	301	269
835	255	320
836	441	105
837	239	214
